f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
71678836.34508474,(1580.0688048764039-196.54274267814736j),(1893.1638183369562-736.8057423589576j),(1837.8047934434828-1359.8388377161377j),(1489.0928475361275-1771.8151792077829j),(1090.5426023182847-1911.2337500852282j),(771.7436156608541-1884.4047313326014j),(546.5663965609535-1788.1792008947891j),(392.88103729146314-1672.506418731312j),(287.8240207698393-1558.0591305905166j),(214.9239321093359-1452.1047669997743j),(163.36007421377482-1356.4320481913005j),(126.16801223194362-1270.7558865263513j),(98.8413807387287-1194.1052123425284j)
72225736.02107021,(1580.5356116603762-203.54711258097043j),(1887.0412598252167-747.2490672105926j),(1822.8025967335789-1366.964617438755j),(1470.563055866809-1770.5529943123042j),(1074.0792226476483-1903.1570613682238j),(759.032917428023-1872.932819833914j),(537.2014460829168-1775.5866815248826j),(386.02280864032605-1659.8996982676126j),(282.75094630919-1545.89750938697j),(211.1126544302424-1440.5454254885046j),(160.44870782773944-1345.5009458127618j),(123.90813348415418-1260.4255719792764j),(97.06103276700567-1184.329227667212j)
72776808.46646504,(1580.9246399383446-210.59428352770948j),(1880.752774512784-757.6403299890754j),(1807.709803080816-1373.867209075032j),(1452.1330856806037-1769.0598927321207j),(1057.8094299145014-1894.9657651603286j),(746.5122567413175-1861.4485691405162j),(527.9905697857396-1763.0388123544867j),(379.2820276770025-1647.3634022210094j),(277.7661583878374-1533.8156565830338j),(207.36805369686164-1429.0673539297052j),(157.58829172690903-1334.6490898073623j),(121.68773290921041-1250.1710286684229j),(95.31170648262547-1174.62506504842j)
73332085.52,(1581.2346616111827-217.68348512932707j),(1874.2987998832195-767.9761219016804j),(1792.5314507741068-1380.5453243331717j),(1433.8066856525384-1767.3397108108868j),(1041.7330341643801-1886.6643002038775j),(734.1795811083739-1849.9546726301064j),(518.9314857544334-1750.5367388823806j),(372.65674492817084-1634.897762139325j),(272.86812062353056-1521.8133341180862j),(203.68894688184076-1417.6700912307224j),(154.77791598623816-1323.8759232336815j),(119.50610516665122-1239.9916675801985j),(93.59284900241624-1164.9921346997403j)
73891599.25902918,(1581.4644513918975-224.81391426604682j),(1867.67986627749-778.2530284824661j),(1777.272597836041-1386.997822104062j),(1415.5874669764842-1765.396340440509j),(1025.8497541466684-1878.257036784985j),(722.0328246204496-1838.4537450186813j),(510.021932935361-1738.0815555807264j),(366.1450389296341-1622.5029826000646j),(268.05532213498964-1509.8902916912289j),(200.07417179449192-1406.353172153168j),(152.016687119023-1313.1808892567487j),(117.36255778280048-1229.8869019646866j),(91.90391754904036-1155.4298501276157j)
74455382.01211768,(1581.61278766573-231.9847347235572j),(1860.8965976420363-788.4676326331751j),(1761.9383167087908-1393.2237084879698j),(1397.4789034043788-1763.2337239243386j),(1010.1592207510516-1869.7482755482883j),(710.0699098779774-1826.9483236234023j),(501.2596715869515-1725.6743072685008j),(359.7450160516663-1610.1792421284717j),(263.3262771988566-1498.0462672889205j),(196.52258674056944-1395.1161275970198j),(149.30372778645497-1302.5634312889704j),(115.25641091511132-1219.856147394378j),(90.2443792636193-1145.937628147367j)
75023466.35017487,(1581.678453374632-239.19507685007778j),(1853.949712159609-798.616517716311j),(1746.5336889686512-1399.222136595507j),(1379.4843314780187-1760.8558489238976j),(994.6609804071339-1861.1422464457098j),(698.2887498371822-1815.4408696428384j),(492.642483689625-1713.3159904582653j),(353.4548103120853-1597.9266940891507j),(258.67952490681495-1486.2809876954766j),(193.0330701844675-1383.958484869108j),(146.63817651099635-1292.0229931219055j),(113.18699712037693-1209.8988218180034j),(88.6137110210367-1136.5148888925123j)
75595885.09370317,(1581.6602369260434-246.44403723473016j),(1846.8400227627317-808.6962706922848j),(1731.063800081656-1404.9924061255062j),(1361.6069509512681-1758.266743497428j),(979.3544984430197-1852.4431078139169j),(686.6872495807183-1803.9337694529488j),(484.1681733202696-1701.0075546814903j),(347.272583179595-1585.7454675553718j),(254.11362882380837-1474.5941689886383j),(189.60452041664897-1372.8797679457152j),(144.0191873944957-1281.559019053002j),(111.15366112740452-1200.014345612914j),(87.01139924925552-1127.1610558257464j)
76172671.31362087,(1581.5569331253841-253.7306784089873j),(1839.5684375222393-818.7034852998825j),(1715.5337342086834-1410.533962724077j),(1343.8498253895225-1755.470471235259j),(964.2391623988538-1843.6549455760244j),(675.2633080152686-1792.4293359177043j),(475.83456698975925-1688.749903787759j),(341.1965233671095-1573.6356681542795j),(249.62717664654795-1462.9855170178369j),(186.23585522497663-1361.8794977250654j),(141.44592984103735-1271.1709540077327j),(109.15575961347949-1190.2021416330767j),(85.43693975162779-1117.8755557460192j)
76753858.33317313,(1581.3673441318729-261.0540285727793j),(1832.1359599118002-828.6347652706936j),(1699.948569073126-1415.846397128273j),(1326.2158829455739-1752.4711265000312j),(949.3142852922889-1834.7817725623208j),(664.0148194952566-1780.9298097091037j),(467.6395139476422-1676.543897221319j),(335.22484661597804-1561.5973788890121j),(245.21877986339305-1451.454727867811j),(182.92601156952315-1350.957192268178j),(138.9175882840085-1260.8582436552547j),(107.19266098493252-1180.461635254604j),(83.88983753272602-1108.657818795093j)
77339479.72985649,(1581.0902804375517-268.4130813452932j),(1824.5436889436128-838.4867275743387j),(1684.3133708976854-1420.929444099929j),(1308.7079172952256-1749.2728297746798j),(934.5791088327899-1825.8275279457398j),(652.9396753756228-1769.4373606354468j),(459.5808864531871-1664.3903512714971j),(329.3557954719705-1549.630660938416j),(240.88707341567502-1440.0014883077415j),(179.6739452624103-1340.1123670339575j),(136.4333619176302-1250.6203345189738j),(105.26374516172854-1170.7922544189441j),(82.36960662730044-1099.507278461836j)
77929569.33735958,(1580.7245618683642-275.80679554353344j),(1816.7928191742549-848.2560056872791j),(1668.6331894245284-1425.782981153946j),(1291.3285887324835-1745.879723125314j),(920.0328065824465-1816.796076787174j),(642.0357654970281-1757.9540889776065j),(451.656580016445-1652.2900403003177j),(323.5876390537312-1537.7355544350592j),(236.63071535993393-1428.6254762240828j),(176.47863065097-1329.3445351025323j),(133.99246443317162-1240.4566740834532j),(103.36840336549395-1161.1934296709805j),(80.87576993248051-1090.423371585191j)
78524161.24751706,(1580.2690186074176-283.23409498804835j),(1808.8846405778918-857.9392528800962j),(1652.9130530238585-1430.4070270876691j),(1274.0804254129655-1742.295965782573j),(905.6744870601543-1807.691209685761j),(631.3009796019729-1746.4820268275478j),(443.8645136096429-1640.2436979455683j),(317.91867281345867-1525.9120792200172j),(232.44838653262698-1417.3263610414983j),(173.33906030583043-1318.653207392861j),(131.5941237590306-1230.3667108943082j),(101.5060379119262-1151.6645941974534j),(79.40785904309564-1081.405538355551j)
